n1,n2,n3,n4,n5,n6,n7
37,23,10,33,29,40,16
42,21,9,25,32,13,2
31,21,27,19,11,16,30
40,30,14,42,31,27,2
16,42,29,40,24,41,3
26,15,42,14,27,40,34
16,9,40,25,2,26,42
25,8,39,19,37,34,9
17,4,16,39,36,2,14
30,33,25,41,9,44,6
41,36,37,7,1,42,14
25,39,21,2,45,11,44
37,23,22,42,25,38,26
6,12,40,31,33,2,15
37,30,3,31,16,4,13
37,38,40,7,24,6,33
17,32,37,3,4,9,1
19,3,12,13,35,32,29
30,39,38,40,43,6,26
23,14,10,20,18,30,41
17,31,6,32,12,18,21
17,5,39,8,4,6,25
13,18,5,17,33,42,44
43,8,36,7,27,29,6
26,44,21,43,2,4,16
4,20,5,18,25,7,31
43,28,1,37,20,26,27
23,18,37,35,25,9,1
1,39,34,5,13,40,11
17,36,44,35,8,20,4
18,7,23,35,28,9,32
19,6,14,44,34,25,11
41,40,32,4,33,7,9
9,35,42,40,26,37,2
26,37,43,11,3,2,39
40,1,23,26,10,28,31
30,33,35,7,27,37,42
22,17,37,30,43,16,36
43,15,21,13,7,6,8
19,7,26,18,13,25,6
13,20,38,23,43,35,34
21,23,17,32,18,19,1
31,6,39,38,44,35,1
21,11,3,30,38,45,39
27,20,10,1,33,35,17
13,31,8,38,15,23,39
14,45,26,36,17,31,27
26,37,10,6,18,38,3
16,33,4,19,40,7,30
2,22,15,12,10,44,1
44,2,26,16,3,11,35
15,4,20,16,2,29,1
14,39,7,32,8,33,42
39,27,8,36,21,1,37
37,31,44,40,17,21,7
31,30,14,33,10,37,19
29,7,16,25,44,10,6
25,44,24,10,40,33,1
41,39,36,45,6,29,13
25,8,39,42,36,2,11
38,19,15,30,43,14,8
29,8,15,27,3,35,21
20,36,23,3,38,40,5
15,26,21,36,18,14,39
40,4,43,36,33,25,39
22,2,17,7,3,24,45
7,38,10,3,36,15,33
15,39,12,26,10,16,38
15,19,8,5,14,39,35
28,43,5,22,25,19,26
5,9,41,29,12,16,21
26,2,4,27,11,17,1
43,12,32,3,18,40,38
15,6,40,35,18,17,23
24,44,32,34,2,5,28
37,25,1,15,22,3,43
43,32,44,2,29,18,37
35,29,13,33,10,25,38
